excentricidad_orb;altura;sentido;geoestacionario;circular
37871305,61;41879477,96;negativo;True;
51639644,29;43601789,62;positivo;False;
83287035,11;85501611,37;negativo;True;
38927713,09;42700641,17;positivo;True;
43383337,89;86623299,55;negativo;True;
72168552,36;95610203,62;negativo;True;
43820025,78;81293070,18;negativo;True;
72207581,72;47431049,63;positivo;False;
25914684,12;33473325,57;negativo;True;
60876329,15;17733201,11;positivo;True;
32758966,29;38873122,21;negativo;True;
4813832,46;18201268,85;negativo;True;
57909856,52;91766409,8;positivo;True;
57680611,11;11628178,48;negativo;True;
98779965,96;2542810,59;positivo;False;
59657598,67;86997589,15;positivo;False;
69725370,28;12063003,01;negativo;False;
78926558,48;63089151,85;positivo;False;
10275158,67;31418293,87;negativo;False;
79215112,12;81802437,95;positivo;False;
36372643,56;61364932,35;positivo;True;
55185705,1;90367902,67;negativo;True;
10618839,32;35593631,97;negativo;True;
23422038,99;94207279,57;negativo;False;
56930666,19;93292730,96;negativo;True;
73752468,39;5411633,91;positivo;True;
25002135,91;65391569,93;negativo;False;
71824010,06;17888693,61;negativo;True;
50498737,88;78210952,75;negativo;True;
49228715,77;38232975,16;negativo;False;
87284373,75;98125007,89;negativo;True;
1777636,98;62258950,3;negativo;True;
99655110,78;1986141,8;positivo;True;
94345586,24;87922062,27;negativo;False;
15257100,59;86882935,34;positivo;False;
24877675,36;97763762,76;positivo;False;
44406922,93;18730632,91;positivo;False;
91928365,59;20113473,18;negativo;False;
84697134,01;65748957,66;positivo;False;
1610500,44;23659716,82;negativo;True;
85675406,22;42090937,04;positivo;True;
44583088,44;56825273,56;positivo;True;
47478755,25;16387159,4;negativo;False;
99561201,61;97943648,69;negativo;False;
60904196,22;64234847,84;negativo;False;
42639106,95;22329481,64;positivo;True;
44545481;30696959,52;positivo;True;
4188101,28;54964279,78;negativo;False;
3372220,32;89632902,07;negativo;False;
31577116,23;72231832,36;negativo;True;
19698679,04;84640556,09;negativo;False;
11312228,55;86658624,67;positivo;False;
83130492,5;26990286,66;negativo;False;
50327545,6;19103342,5;negativo;True;
15544252,63;7328645,09;positivo;True;
81990791,16;61987230,6;negativo;False;
9563819,87;11662451,58;positivo;False;
94254548,9;25977758,76;negativo;True;
74011126,06;35656642,96;negativo;True;
48798668,58;84146694,92;positivo;True;
40826325,58;48431553,04;positivo;False;
83047290,29;42360981,93;positivo;True;
23674784,51;3842923,95;positivo;False;
67480445,05;68879815,85;positivo;False;
92950474,2;9212096,65;negativo;True;
96767626,88;79799631,88;negativo;True;
11291048,58;85776804,78;negativo;True;
75207159,17;67460534,05;negativo;True;
11193262,51;31157552,56;negativo;True;
15095632,21;64754830,09;positivo;False;
71359555,39;34757865,87;positivo;False;
4486013,13;84219893,05;negativo;False;
59472063,72;16722031,09;negativo;True;
22737623,74;61278737,93;positivo;False;
32264197,32;22694963,48;positivo;True;
17647309,73;13091262,87;positivo;False;
49413910,53;40167509,24;negativo;True;
8341562,8;97260993,37;positivo;False;
38301479,28;37439029,1;negativo;True;
24263301,95;11059350,98;negativo;True;
68627467,6;8400780,25;negativo;False;
93948252,58;19048121,75;negativo;True;
1543660,3;25034284,83;positivo;False;
78836012,38;63781882,74;negativo;True;
31574250,82;92338255,08;positivo;False;
47804501,87;32548347,01;negativo;True;
19974739,81;12283469,28;negativo;True;
27577878,72;99982978,05;negativo;True;
26647152,2;17362632,66;negativo;True;
93862745,53;54828841,4;positivo;False;
77047118,16;51324717,01;positivo;False;
34484381,28;35079608,76;positivo;True;
74084655,06;69607963,64;positivo;True;
1171801,04;76612142,04;positivo;False;
55335918,42;75919951,62;positivo;True;
32251332,43;28154432,45;negativo;False;
26598734,96;93453848,99;negativo;True;
55151581,14;29517348,22;positivo;True;
71373007,4;52846296,66;negativo;False;
4963502,08;63306287,08;positivo;True;
83018418,76;97639420,24;negativo;True;
72721395,61;1549432,62;positivo;False;
98575052,6;78910693,87;positivo;False;
98190383,49;23661451,45;positivo;True;
18713523,65;70136962,34;negativo;False;
8344826,43;94914314,07;negativo;False;
20911846,22;63707770,61;positivo;True;
95536428,95;10129109,56;negativo;True;
54152853,43;62243279;positivo;False;
77490849,97;30050492,58;positivo;False;
52731202,72;75706932,17;negativo;True;
86034874,44;54582016,46;negativo;True;
47921756,81;71052333,02;negativo;False;
68925690,15;56795678,41;negativo;True;
74800166,85;17038612,97;positivo;True;
32095747,87;87113220,89;positivo;False;
55578569,85;37302440,58;negativo;True;
60886488,27;30721016,28;negativo;True;
20773444,16;5163585,46;negativo;False;
2353797,9;77501551,42;negativo;False;
91119047,01;76402107,09;positivo;False;
40604274,76;40465381,65;negativo;True;
81660984,05;76343419,53;negativo;True;
70020688,64;75756886,96;negativo;False;
36909795,77;69639902,1;negativo;True;
29587470,09;45141245,02;negativo;True;
22590991,84;44063217,85;negativo;False;
70208264,37;87187449,45;negativo;False;
53404930,65;71801253,37;negativo;True;
3058850,3;26709282,28;negativo;False;
68437206,61;81414279,25;negativo;False;
55853652,59;39884210,4;positivo;False;
59817275,95;30328093,11;positivo;True;
7120344,53;44182927,6;positivo;False;
57773475,63;37291655,85;positivo;False;
90782249,9;32197485,13;negativo;False;
29478906,11;97902736,13;negativo;False;
55096547,96;10459204,37;positivo;False;
3133777,46;49753777,13;negativo;True;
47248380,14;20110878,63;positivo;False;
10775026,91;72809711,1;positivo;True;
46844074,16;19314990,65;positivo;True;
28024011,72;7867653,21;positivo;False;
10364295,19;91129389,7;positivo;True;
55932681,05;8865047,22;negativo;False;
99935043,9;48899717,32;positivo;False;
6675196,44;25444254,59;negativo;False;
20065967,79;59878023,25;positivo;True;
99486962,2;96118691,28;positivo;False;
36202273,76;18106584,33;negativo;False;
20678146,81;27256717,87;negativo;True;
78359821,71;90384810,88;positivo;False;
65539520,41;24345495,56;positivo;True;
38844375,98;79786696,56;positivo;True;
66075514,55;86306251,12;negativo;False;
63238900,06;52634582,84;positivo;False;
99003542,69;19870759,8;positivo;True;
27051113,89;46165960,46;negativo;False;
2327449,03;68916472,61;negativo;False;
88572672,5;71020145,18;positivo;True;
72764611,85;67252919,93;positivo;False;
630048;86044836,64;positivo;True;
60503297,52;43367505,86;positivo;False;
8396834,19;30228522;positivo;False;
27421127,13;66379759,15;positivo;False;
85782866,07;14466527,11;negativo;False;
7729638,9;89126177,47;negativo;False;
83374828,3;98732784,07;negativo;True;
63467873,28;80759193,88;positivo;True;
71129595,15;92918916,98;positivo;True;
58286124,3;29073810,44;positivo;False;
90043558,75;45985483,34;negativo;False;
80116230,99;50803896,05;negativo;False;
80500812,14;58887938,85;negativo;False;
51851167,18;11440909,5;negativo;False;
56016859,88;85245052,81;negativo;True;
89910690,17;87866632,66;negativo;True;
11814530,52;49876577,99;positivo;False;
77290628,87;2956884,94;negativo;True;
16351493,49;14543742,9;negativo;False;
79113995,44;87435377,97;positivo;True;
37905913,11;71823009,46;positivo;False;
59453986,95;21786948,35;negativo;False;
79357493,01;24878171,71;positivo;False;
38481593,65;39768199,71;positivo;True;
61904085,21;29869257,87;negativo;True;
45893121,35;97564598,43;negativo;False;
67827898,48;94571229,77;negativo;False;
83264672,17;5173011,77;positivo;False;
3041923,32;85967124,4;negativo;True;
78666597,69;28658477,58;negativo;True;
90759835,75;24062731,1;negativo;False;
76346199,8;94775014,66;negativo;False;
53562332,71;52943161,16;positivo;False;
78492678,21;19982556,35;negativo;True;
38624278,73;32850267,04;positivo;True;
46536981,92;6501605,71;positivo;False;
64025451,6;15541318,78;negativo;False;
53507395,75;36355119,68;negativo;False;
97490136,52;5823003,47;positivo;False;
39125121,17;25875348,55;positivo;True;
22112396,34;78588236,17;positivo;False;
82673356,56;74914004,93;negativo;False;
62557153,34;19116802,97;negativo;False;
37782198,31;13807301,21;negativo;True;
47584931,43;13723740,29;positivo;False;
83405791,18;942004,74;negativo;False;
25381270,7;19630729,01;positivo;True;
88951889,22;53548064,73;positivo;True;
54529030,09;11732211,93;negativo;False;
83391273,65;15537211,19;positivo;True;
12479490,56;44500987,12;positivo;False;
3934422,5;95360367,31;positivo;False;
95167996,7;95143876,02;negativo;False;
71334865,42;3282790,12;negativo;True;
57307105,86;95422716,6;negativo;True;
91423775,13;23359664,17;positivo;False;
28743586,71;21542902,38;positivo;False;
